id,name_en,name_ja,base_stat_total,hp,attack,defense,special-attack,special-defense,speed,types,sprite_url,generation,evolution_stage,is_legendary,is_mythical,total_score_en,total_score_ja
160,feraligatr,オーダイル,530,85,105,100,79,83,78,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,generation-ii,2,False,False,6,22
161,sentret,オタチ,215,35,46,34,35,45,20,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,generation-ii,0,False,False,10,13
162,furret,オオタチ,415,85,76,64,45,55,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,generation-ii,1,False,False,3,18
163,hoothoot,ホーホー,262,60,30,30,36,56,50,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,generation-ii,0,False,False,5,20
164,noctowl,ヨルノズク,452,100,50,50,86,96,70,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,generation-ii,1,False,False,7,20
165,ledyba,レディバ,265,40,20,30,40,80,55,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,generation-ii,0,False,False,5,17
166,ledian,レディアン,390,55,35,50,55,110,85,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,generation-ii,1,False,False,6,17
167,spinarak,イトマル,250,40,60,40,40,40,30,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,generation-ii,0,False,False,8,16
168,ariados,アリアドス,400,70,90,70,60,70,40,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,generation-ii,1,False,False,6,23
169,crobat,クロバット,535,85,90,80,70,80,130,"poison,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,generation-ii,2,False,False,6,21
170,chinchou,チョンチー,330,75,38,38,56,56,67,"water,electric",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,generation-ii,0,False,False,5,7
171,lanturn,ランターン,460,125,58,58,76,76,67,"water,electric",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,generation-ii,1,False,False,8,20
172,pichu,ピチュー,205,20,40,15,35,35,60,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,generation-ii,0,False,False,3,5
173,cleffa,ピィ,218,50,25,28,45,55,15,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,generation-ii,0,False,False,4,3
174,igglybuff,ププリン,210,90,30,15,40,20,15,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,generation-ii,0,False,False,5,9
175,togepi,トゲピー,245,35,20,65,40,65,20,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,generation-ii,0,False,False,5,14
176,togetic,トゲチック,405,55,40,85,80,105,40,"fairy,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,generation-ii,1,False,False,7,16
177,natu,ネイティ,320,40,50,45,70,45,70,"psychic,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,generation-ii,0,False,False,4,11
178,xatu,ネイティオ,470,65,75,70,95,70,95,"psychic,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,generation-ii,1,False,False,3,16
179,mareep,メリープ,280,55,40,40,65,45,35,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,generation-ii,0,False,False,4,11
180,flaaffy,モココ,365,70,55,55,80,60,45,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,generation-ii,1,False,False,4,15
181,ampharos,デンリュウ,510,90,75,85,115,90,55,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,generation-ii,2,False,False,4,11
182,bellossom,キレイハナ,490,75,80,95,90,100,50,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,generation-ii,2,False,False,6,20
183,marill,マリル,250,70,20,50,20,50,40,"water,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,generation-ii,1,False,False,5,11
184,azumarill,マリルリ,420,100,50,80,60,80,50,"water,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,generation-ii,2,False,False,5,13
185,sudowoodo,ウソッキー,410,70,100,115,30,65,30,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,generation-ii,1,False,False,7,13
186,politoed,ニョロトノ,500,90,75,75,90,100,70,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,generation-ii,2,False,False,7,17
187,hoppip,ハネッコ,250,35,35,40,35,55,50,"grass,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,generation-ii,0,False,False,3,16
188,skiploom,ポポッコ,340,55,45,50,45,65,80,"grass,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,generation-ii,1,False,False,7,16
189,jumpluff,ワタッコ,460,75,55,70,55,95,110,"grass,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,generation-ii,2,False,False,7,18
190,aipom,エイパム,360,55,70,55,40,55,85,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,generation-ii,0,False,False,2,15
191,sunkern,ヒマナッツ,180,30,30,30,30,30,30,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,generation-ii,0,False,False,6,18
192,sunflora,キマワリ,425,75,75,55,105,85,30,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,generation-ii,1,False,False,9,16
193,yanma,ヤンヤンマ,390,65,65,45,75,45,95,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,generation-ii,0,False,False,4,20
194,wooper,ウパー,210,55,45,45,25,25,15,"water,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,generation-ii,0,False,False,2,15
195,quagsire,ヌオー,430,95,85,85,65,65,35,"water,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,generation-ii,1,False,False,6,13
196,espeon,エーフィ,525,65,65,60,130,95,110,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,generation-ii,1,False,False,5,12
197,umbreon,ブラッキー,525,95,65,110,60,130,65,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,generation-ii,1,False,False,6,15
198,murkrow,ヤミカラス,405,60,85,42,85,42,91,"dark,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,generation-ii,0,False,False,4,23
199,slowking,ヤドキング,490,95,75,80,100,110,30,"water,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,generation-ii,1,False,False,6,19
200,misdreavus,ムウマ,435,60,60,60,85,85,85,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,generation-ii,0,False,False,10,12
201,unown,アンノーン,336,48,72,48,72,48,48,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,generation-ii,0,False,False,4,18
202,wobbuffet,ソーナンス,405,190,33,58,33,58,33,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,generation-ii,1,False,False,7,20
203,girafarig,キリンリキ,455,70,80,65,90,65,85,"normal,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,generation-ii,0,False,False,8,9
204,pineco,クヌギダマ,290,50,65,90,35,35,15,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,generation-ii,0,False,False,4,22
205,forretress,フォレトス,465,75,90,140,60,60,40,"bug,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,generation-ii,1,False,False,9,19
206,dunsparce,ノコッチ,415,100,70,70,65,65,45,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,generation-ii,0,False,False,11,13
207,gligar,グライガー,430,65,75,105,35,65,85,"ground,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,generation-ii,0,False,False,4,25
208,steelix,ハガネール,510,75,85,200,55,65,30,"steel,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,generation-ii,1,False,False,9,24
209,snubbull,ブルー,300,60,80,50,40,40,30,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,generation-ii,0,False,False,7,10
210,granbull,グランブル,450,90,120,75,60,60,45,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,generation-ii,1,False,False,8,18
211,qwilfish,ハリーセン,440,65,95,85,55,55,85,"water,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,generation-ii,0,False,False,7,15
212,scizor,ハッサム,500,70,130,100,55,80,65,"bug,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,generation-ii,1,False,False,4,16
213,shuckle,ツボツボ,505,20,10,230,10,230,5,"bug,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,generation-ii,0,False,False,5,18
214,heracross,ヘラクロス,500,80,125,75,40,95,85,"bug,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,generation-ii,0,False,False,8,21
215,sneasel,ニューラ,430,55,95,55,35,75,115,"dark,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,generation-ii,0,False,False,8,9
216,teddiursa,ヒメグマ,330,60,80,50,50,50,40,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,generation-ii,0,False,False,6,16
217,ursaring,リングマ,500,90,130,75,75,75,55,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,generation-ii,1,False,False,3,13
218,slugma,マグマッグ,250,40,40,40,70,40,20,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,generation-ii,0,False,False,6,21
219,magcargo,マグカルゴ,430,60,50,120,90,80,30,"fire,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,generation-ii,1,False,False,5,25
220,swinub,ウリムー,250,50,50,40,30,30,50,"ice,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,generation-ii,0,False,False,6,11
221,piloswine,イノムー,450,100,100,80,60,60,50,"ice,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,generation-ii,1,False,False,8,13
222,corsola,サニーゴ,410,65,55,95,65,95,35,"water,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,generation-ii,0,False,False,5,16
223,remoraid,テッポウオ,300,35,65,35,65,35,65,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,generation-ii,0,False,False,7,18
224,octillery,オクタン,480,75,105,75,105,75,45,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,generation-ii,1,False,False,7,15
225,delibird,デリバード,330,45,55,45,65,45,75,"ice,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,generation-ii,0,False,False,7,26
226,mantine,マンタイン,485,85,40,70,80,140,70,"water,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,generation-ii,1,False,False,7,16
227,skarmory,エアームド,465,65,80,140,40,70,70,"steel,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,generation-ii,0,False,False,6,25
228,houndour,デルビル,330,45,60,30,80,50,65,"dark,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,generation-ii,0,False,False,5,14
229,houndoom,ヘルガー,500,75,90,50,110,80,95,"dark,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,generation-ii,1,False,False,6,20
230,kingdra,キングドラ,540,75,95,95,95,95,85,"water,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,generation-ii,2,False,False,6,19
231,phanpy,ゴマゾウ,330,90,60,60,40,40,40,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,generation-ii,0,False,False,4,21
232,donphan,ドンファン,500,90,120,120,60,60,50,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,generation-ii,1,False,False,7,16
233,porygon2,ポリゴン２,515,85,80,90,105,95,60,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,generation-ii,1,False,False,8,15
234,stantler,オドシシ,465,73,95,62,85,65,85,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,generation-ii,0,False,False,10,15
235,smeargle,ドーブル,250,55,20,35,20,45,75,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,generation-ii,0,False,False,8,18
236,tyrogue,バルキー,210,35,35,35,35,35,35,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,generation-ii,0,False,False,5,14
237,hitmontop,カポエラー,455,50,95,95,35,110,70,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,generation-ii,1,False,False,10,27
238,smoochum,ムチュール,305,45,30,15,85,65,65,"ice,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,generation-ii,0,False,False,5,9
239,elekid,エレキッド,360,45,63,37,65,55,95,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,generation-ii,0,False,False,5,17
240,magby,ブビィ,365,45,75,37,70,55,83,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,generation-ii,0,False,False,3,8
241,miltank,ミルタンク,490,95,80,105,40,70,100,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,generation-ii,0,False,False,7,15
242,blissey,ハピナス,540,255,10,10,75,135,55,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,generation-ii,2,False,False,5,17
243,raikou,ライコウ,580,90,85,75,115,100,115,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,generation-ii,0,True,False,3,16
244,entei,エンテイ,580,115,115,85,90,75,100,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,generation-ii,0,True,False,4,11
245,suicune,スイクン,580,100,75,115,90,115,85,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,generation-ii,0,True,False,7,9
246,larvitar,ヨーギラス,300,50,64,50,45,50,41,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,generation-ii,0,False,False,7,22
247,pupitar,サナギラス,410,70,84,70,65,70,51,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,generation-ii,1,False,False,7,24
248,tyranitar,バンギラス,600,100,134,110,95,100,61,"rock,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,generation-ii,2,False,False,10,20
249,lugia,ルギア,680,106,90,130,90,154,110,"psychic,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,generation-ii,0,True,False,4,12
250,ho-oh,ホウオウ,680,106,130,90,110,154,90,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,generation-ii,0,True,False,2,16
251,celebi,セレビィ,600,100,100,100,100,100,100,"psychic,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,generation-ii,0,False,True,5,12
252,treecko,キモリ,310,40,45,35,65,55,70,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,generation-iii,0,False,False,5,9
253,grovyle,ジュプトル,405,50,65,45,85,65,95,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,generation-iii,1,False,False,6,14
254,sceptile,ジュカイン,530,70,85,65,105,85,120,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,generation-iii,2,False,False,7,12
255,torchic,アチャモ,310,45,60,40,70,50,45,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,generation-iii,0,False,False,7,13
256,combusken,ワカシャモ,405,60,85,60,85,60,55,"fire,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,generation-iii,1,False,False,8,19
257,blaziken,バシャーモ,530,80,120,70,110,70,80,"fire,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,generation-iii,2,False,False,8,15
258,mudkip,ミズゴロウ,310,50,70,50,50,50,40,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,generation-iii,0,False,False,5,20
259,marshtomp,ヌマクロー,405,70,85,70,60,70,50,"water,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,generation-iii,1,False,False,8,22
260,swampert,ラグラージ,535,100,110,90,85,90,60,"water,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,generation-iii,2,False,False,7,25
261,poochyena,ポチエナ,220,35,55,35,30,30,35,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,generation-iii,0,False,False,5,17
262,mightyena,グラエナ,420,70,90,70,60,60,70,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,generation-iii,1,False,False,6,20
263,zigzagoon,ジグザグマ,240,38,30,41,30,41,60,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,generation-iii,0,False,False,8,24
264,linoone,マッスグマ,420,78,70,61,50,61,100,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,generation-iii,1,False,False,6,20
265,wurmple,ケムッソ,195,45,45,35,20,30,20,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,generation-iii,0,False,False,5,13
266,silcoon,カラサリス,205,50,35,55,25,25,15,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,generation-iii,1,False,False,7,23
267,beautifly,アゲハント,395,60,70,50,100,50,65,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,generation-iii,2,False,False,7,23
268,cascoon,マユルド,205,50,35,55,25,25,15,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,generation-iii,1,False,False,6,18
269,dustox,ドクケイル,385,60,50,70,50,90,65,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,generation-iii,2,False,False,9,18
270,lotad,ハスボー,220,40,30,30,40,50,30,"water,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,generation-iii,0,False,False,6,20
271,lombre,ハスブレロ,340,60,50,50,60,70,50,"water,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,generation-iii,1,False,False,6,22
272,ludicolo,ルンパッパ,480,80,70,70,90,100,70,"water,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,generation-iii,2,False,False,7,17
273,seedot,タネボー,220,40,40,50,30,30,30,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,generation-iii,0,False,False,6,21
274,nuzleaf,コノハナ,340,70,70,40,60,40,60,"grass,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,generation-iii,1,False,False,7,22
275,shiftry,ダーテング,480,90,100,60,90,60,80,"grass,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,generation-iii,2,False,False,7,22
276,taillow,スバメ,270,40,55,30,30,30,85,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,generation-iii,0,False,False,4,14
277,swellow,オオスバメ,455,60,85,60,75,50,125,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,generation-iii,1,False,False,5,24
278,wingull,キャモメ,270,40,30,30,55,30,85,"water,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,generation-iii,0,False,False,5,11
279,pelipper,ペリッパー,440,60,50,100,95,70,65,"water,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,generation-iii,1,False,False,6,19
280,ralts,ラルトス,198,28,25,25,45,35,40,"psychic,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,generation-iii,0,False,False,8,17
281,kirlia,キルリア,278,38,35,35,65,55,50,"psychic,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,generation-iii,1,False,False,3,13
282,gardevoir,サーナイト,518,68,65,65,125,115,80,"psychic,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,generation-iii,2,False,False,6,25
283,surskit,アメタマ,269,40,30,32,50,52,65,"bug,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,generation-iii,0,False,False,7,22
284,masquerain,アメモース,454,70,60,62,100,82,80,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,generation-iii,1,False,False,9,23
285,shroomish,キノココ,295,60,40,60,40,60,35,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,generation-iii,0,False,False,7,17
286,breloom,キノガッサ,460,60,130,80,60,60,70,"grass,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,generation-iii,1,False,False,6,21
287,slakoth,ナマケロ,280,60,60,60,35,35,30,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,generation-iii,0,False,False,7,21
288,vigoroth,ヤルキモノ,440,80,80,80,55,55,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,generation-iii,1,False,False,4,21
289,slaking,ケッキング,670,150,160,100,95,65,100,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,generation-iii,2,False,False,6,12
290,nincada,ツチニン,266,31,45,90,30,30,40,"bug,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,generation-iii,0,False,False,7,8
291,ninjask,テッカニン,456,61,90,45,50,50,160,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,generation-iii,1,False,False,9,14
292,shedinja,ヌケニン,236,1,90,45,30,30,40,"bug,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,generation-iii,1,False,False,7,10
293,whismur,ゴニョニョ,240,64,51,23,51,23,28,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,generation-iii,0,False,False,6,10
294,loudred,ドゴーム,360,84,71,43,71,43,48,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,generation-iii,1,False,False,8,20
295,exploud,バクオング,490,104,91,63,91,73,68,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,generation-iii,2,False,False,8,20
296,makuhita,マクノシタ,237,72,60,30,20,30,25,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,generation-iii,0,False,False,4,22
297,hariyama,ハリテヤマ,474,144,120,60,40,60,50,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,generation-iii,1,False,False,4,24
298,azurill,ルリリ,190,50,20,40,20,40,20,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,generation-iii,0,False,False,6,7
299,nosepass,ノズパス,375,30,45,135,45,90,30,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,generation-iii,0,False,False,7,18
300,skitty,エネコ,260,50,45,45,35,35,50,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,generation-iii,0,False,False,5,13
301,delcatty,エネコロロ,400,70,65,65,55,55,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,generation-iii,1,False,False,7,23
302,sableye,ヤミラミ,380,50,75,75,65,65,50,"dark,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,generation-iii,0,False,False,5,16
303,mawile,クチート,380,50,85,85,55,55,50,"steel,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,generation-iii,0,False,False,4,12
304,aron,ココドラ,330,50,70,100,40,40,30,"steel,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,generation-iii,0,False,False,4,22
305,lairon,コドラ,430,60,90,140,50,50,40,"steel,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,generation-iii,1,False,False,6,17
306,aggron,ボスゴドラ,530,70,110,180,60,60,50,"steel,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,generation-iii,2,False,False,5,27
307,meditite,アサナン,280,30,40,55,40,55,60,"fighting,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,generation-iii,0,False,False,7,19
308,medicham,チャーレム,410,60,60,75,60,75,80,"fighting,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,generation-iii,1,False,False,5,10
309,electrike,ラクライ,295,40,45,40,65,40,65,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,generation-iii,0,False,False,8,17
310,manectric,ライボルト,475,70,75,60,105,60,105,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,generation-iii,1,False,False,9,22
311,plusle,プラスル,405,60,50,40,85,75,95,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,generation-iii,0,False,False,7,15
312,minun,マイナン,405,60,40,50,75,85,95,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,generation-iii,0,False,False,5,15
313,volbeat,バルビート,430,65,73,75,47,85,85,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,generation-iii,0,False,False,6,20
314,illumise,イルミーゼ,430,65,47,75,73,85,85,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,generation-iii,0,False,False,5,14
315,roselia,ロゼリア,400,50,60,45,100,80,65,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,generation-iii,1,False,False,6,18
316,gulpin,ゴクリン,302,70,43,53,43,53,40,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,generation-iii,0,False,False,6,12
